placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
zzz-222@5pw-6ck-x89,sg:07deb266e971495f90ce122cb4ad626c,,,Senka Edward Duke,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.7911,-87.712498,5656 S St Louis Ave,Chicago,IL,60629,US,17737474386,"{ """"Mon"""": [[""""6:00"""", """"23:00""""]], """"Tue"""": [[""""6:00"""", """"23:00""""]], """"Wed"""": [[""""6:00"""", """"23:00""""]], """"Thu"""": [[""""6:00"""", """"23:00""""]], """"Fri"""": [[""""6:00"""", """"23:00""""]], """"Sat"""": [[""""6:00"""", """"23:00""""]], """"Sun"""": [[""""6:00"""", """"23:00""""]] }",,,NA,,2019-07
zzz-222@5pw-p4q-gc5,sg:34842635a3c4440fabf8b264b01ba9c7,,,Pine Knoll Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.74217,-88.360597,Lindenwood Drive,Montgomery,IL,60538,US,NA,,,,NA,,2019-07
zzz-222@5pv-ygd-ndv,sg:50e94d52e6ca464592851ce41a922261,,,Veterans Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.589366,-87.540818,630 154th St,Calumet City,IL,60409,US,NA,,,,NA,,2019-07
zzz-222@5pj-5nx-nqz,sg:82041354a55d4ce8b0bb45d5c1761fac,,,Downtown Square,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.513856,-89.98381,Illinois St,Belleville,IL,62220,US,NA,,,,NA,,2019-07
zzz-222@5sb-89j-3kf,sg:93223c9b9a0846aebdf354cd3b43028d,,,Miller Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.151086,-88.130128,426 E Russell St,Barrington,IL,60010,US,NA,,,,NA,,2019-07
222-222@5pv-qn6-6ff,sg:ae069dab83ff485886b593d0acd791d4,,,Houghton Park Concession Stand,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.253533,-88.163618,300 Haughton Park,Greenup,IL,62428,US,12179235176,,,,NA,,2019-07
zzz-222@5pj-5nx-4vz,sg:08ec9761e4384533948aaa80f91d22d0,,,North End Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.52384,-89.982682,1204 N Douglas Ave,Belleville,IL,62220,US,NA,,,,NA,,2019-07
222-222@5pv-yw4-9s5,sg:41c4b5a6e3b74f5e869c110caafa1e87,,,William W Powers Conservation Area,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.660699,-87.539761,12949 S Avenue O,Chicago,IL,60633,US,17736463270,,,,NA,,2019-07
zzz-222@5sb-8db-wkz,sg:7346754fd6684ba080d80ad4939bc000,,,Discovery Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.940049,-87.863672,Unknown,Franklin Park,IL,60131,US,NA,,,,NA,,2019-07
zzz-222@5sb-xtb-swk,sg:88b51642b26847bfb91292fe18b9b3d5,,,Tinker Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.263979,-89.103063,411 Kent St,Rockford,IL,61102,US,NA,,,,NA,,2019-07
zzz-222@5pw-67y-789,sg:8de230b75d354e358080b47cdc3ff822,,,Green Youth Farm,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.854404,-87.713949,Green Youth Farm,Chicago,IL,60623,US,NA,,,,NA,,2019-07
zzz-222@5pw-pb6-7bk,sg:907c2164be3a4d779ff7dbbe9badc498,,,Ashbury Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.703087,-88.183067,1740 Conan Doyle Rd,Naperville,IL,60564,US,NA,,,,NA,,2019-07
zzz-222@5sb-6v8-kj9,sg:9f430ab38ef9484389901324a4bf733d,,,Hickory Creek Farm,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.365936,-88.284905,Hickory Creek Farm,McCullom Lake,IL,60050,US,NA,,,,NA,,2019-07
zzw-222@5sb-75r-fxq,sg:c7ab9cc28116400685bc645f7e431750,,,Natures View Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.200616,-88.410336,5705 Lucerne Ln,Lake in the Hills,IL,60156,US,NA,,,,NA,,2019-07
zzy-222@5q2-v2j-x3q,sg:75311b0cd848426f9baee889daa69af1,,,Francis Park Woodland Palace,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.279948,-89.861279,29862 North 900 Avenue,Kewanee,IL,61443,US,NA,,,,NA,,2019-07
zzz-222@5pk-s73-zfz,sg:d263c0a255364c11a198d1c4d4ef870c,,,Van Preter Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,38.881212,-90.108337,Playground Cr,East Alton,IL,62024,US,NA,,,,NA,,2019-07
zzz-222@5pw-qct-2ff,sg:eb91353bf1254951af8728fa5463cfeb,,,William G Stratton State Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.355393,-88.420289,Griggs St,Morris,IL,60450,US,NA,,,,NA,,2019-07
zzw-222@5sb-d2n-mhq,sg:2d49c8a8abd1408d98f28dcc09e26587,,,Glenview Golf Course,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.092497,-87.828825,2800 W Lake Ave,Glenview,IL,60026,US,NA,,,,NA,,2019-07
